id,name,league_name
37176,"Renaissance de Berkane","Botola Pro"
6603,"Wydad Casablanca","Botola Pro"
2068,"Raja Club Athletic","Botola Pro"
9099,"AS FAR Rabat","Botola Pro"
6371,"FUS Rabat","Botola Pro"
3282,"MAS Fès","Botola Pro"
79389,"Union Touarga Sportif","Botola Pro"
22935,"Hassania d'Agadir","Botola Pro"
22944,"Olympique Safi","Botola Pro"
30625,"COD Meknès","Botola Pro"
74953,"Renaissance Zemamra","Botola Pro"
14462,"Difaâ El Jadida","Botola Pro"
12721,"Ittihad Tanger","Botola Pro"
4697,"KACM Marrakech","Botola Pro"
103954,"Union Yacoub El-Mansour","Botola Pro"
59771,"Olympique Dcheira","Botola Pro"
11,"Arsenal FC","Premier League"
